Bin 	 Edep 	 Bin height 
1 	 0.000 	 0.000 
2 	 0.000 	 0.000 
3 	 0.001 	 0.000 
4 	 0.001 	 10.000 
5 	 0.001 	 208.000 
6 	 0.001 	 998.000 
7 	 0.001 	 2455.000 
8 	 0.002 	 4191.000 
9 	 0.002 	 5979.000 
10 	 0.002 	 7912.000 
11 	 0.002 	 10363.000 
12 	 0.002 	 12839.000 
13 	 0.003 	 15469.000 
14 	 0.003 	 18784.000 
15 	 0.003 	 21723.000 
16 	 0.003 	 25110.000 
17 	 0.003 	 28170.000 
18 	 0.004 	 30906.000 
19 	 0.004 	 33151.000 
20 	 0.004 	 35035.000 
21 	 0.004 	 36643.000 
22 	 0.004 	 37864.000 
23 	 0.005 	 37950.000 
24 	 0.005 	 38108.000 
25 	 0.005 	 37729.000 
26 	 0.005 	 37114.000 
27 	 0.005 	 35812.000 
28 	 0.006 	 34187.000 
29 	 0.006 	 32736.000 
30 	 0.006 	 30693.000 
31 	 0.006 	 28778.000 
32 	 0.006 	 27036.000 
33 	 0.007 	 24828.000 
34 	 0.007 	 22923.000 
35 	 0.007 	 20772.000 
36 	 0.007 	 19357.000 
37 	 0.007 	 17404.000 
38 	 0.008 	 15876.000 
39 	 0.008 	 14309.000 
40 	 0.008 	 13452.000 
41 	 0.008 	 12071.000 
42 	 0.008 	 10822.000 
43 	 0.009 	 9877.000 
44 	 0.009 	 8749.000 
45 	 0.009 	 8190.000 
46 	 0.009 	 7251.000 
47 	 0.009 	 6867.000 
48 	 0.009 	 6061.000 
49 	 0.010 	 5704.000 
50 	 0.010 	 4930.000 
51 	 0.010 	 4681.000 
52 	 0.010 	 4484.000 
53 	 0.011 	 4238.000 
54 	 0.011 	 3727.000 
55 	 0.011 	 3621.000 
56 	 0.011 	 3354.000 
57 	 0.011 	 3108.000 
58 	 0.011 	 2835.000 
59 	 0.012 	 2675.000 
60 	 0.012 	 2524.000 
61 	 0.012 	 2496.000 
62 	 0.012 	 2321.000 
63 	 0.013 	 2165.000 
64 	 0.013 	 2020.000 
65 	 0.013 	 1897.000 
66 	 0.013 	 1878.000 
67 	 0.013 	 1764.000 
68 	 0.013 	 1677.000 
69 	 0.014 	 1578.000 
70 	 0.014 	 1424.000 
71 	 0.014 	 1381.000 
72 	 0.014 	 1300.000 
73 	 0.015 	 1300.000 
74 	 0.015 	 1190.000 
75 	 0.015 	 1141.000 
76 	 0.015 	 1101.000 
77 	 0.015 	 1093.000 
78 	 0.015 	 1010.000 
79 	 0.016 	 1019.000 
80 	 0.016 	 917.000 
81 	 0.016 	 910.000 
82 	 0.016 	 821.000 
83 	 0.017 	 793.000 
84 	 0.017 	 758.000 
85 	 0.017 	 766.000 
86 	 0.017 	 699.000 
87 	 0.017 	 700.000 
88 	 0.018 	 675.000 
89 	 0.018 	 634.000 
90 	 0.018 	 558.000 
91 	 0.018 	 610.000 
92 	 0.018 	 595.000 
93 	 0.018 	 560.000 
94 	 0.019 	 528.000 
95 	 0.019 	 503.000 
96 	 0.019 	 494.000 
97 	 0.019 	 477.000 
98 	 0.019 	 500.000 
99 	 0.020 	 450.000 
100 	 0.020 	 470.000 
