#class tools::histo::h1d
#title Edep in target
#dimension 1
#axis fixed 100 0 0.02
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
3023,3023,3023,0.514477,8.91017e-05
31088,31088,31088,9.90036,0.00324428
62365,62365,62365,31.7242,0.0163407
94530,94530,94530,66.6422,0.0472932
116834,116834,116834,105.422,0.0955122
123313,123313,123313,135.571,0.149457
113593,113593,113593,147.413,0.191678
95255,95255,95255,142.531,0.213587
75762,75762,75762,128.471,0.218102
58013,58013,58013,109.975,0.208673
43830,43830,43830,91.8229,0.192513
33497,33497,33497,76.896,0.176633
25374,25374,25374,63.3166,0.158081
18764,18764,18764,50.5822,0.136416
14506,14506,14506,42.0099,0.12171
11356,11356,11356,35.1593,0.108894
8639,8639,8639,28.4786,0.093909
6986,6986,6986,24.4227,0.0854037
5828,5828,5828,21.5472,0.0796834
4918,4918,4918,19.1641,0.0746936
4112,4112,4112,16.8501,0.0690618
3573,3573,3573,15.3575,0.0660224
3299,3299,3299,14.8379,0.0667471
2979,2979,2979,13.9976,0.0657815
2671,2671,2671,13.0918,0.0641776
2484,2484,2484,12.6651,0.0645836
2317,2317,2317,12.278,0.0650701
2217,2217,2217,12.1933,0.0670694
2061,2061,2061,11.7463,0.0669522
1892,1892,1892,11.1588,0.0658201
1900,1900,1900,11.5838,0.0706296
1753,1753,1753,11.0446,0.0695917
1620,1620,1620,10.5285,0.0684308
1473,1473,1473,9.86739,0.0661049
1314,1314,1314,9.06635,0.0625606
1076,1076,1076,7.63762,0.0542165
968,968,968,7.06578,0.0515789
871,871,871,6.53092,0.0489729
797,797,797,6.13086,0.0471639
688,688,688,5.4345,0.0429294
615,615,615,4.97976,0.0403241
555,555,555,4.60396,0.0381936
525,525,525,4.46297,0.037941
458,458,458,3.98563,0.0346854
428,428,428,3.80958,0.0339101
434,434,434,3.94922,0.0359378
392,392,392,3.64428,0.0338807
374,374,374,3.55393,0.0337722
355,355,355,3.4448,0.0334284
346,346,346,3.42365,0.0338779
325,325,325,3.28316,0.0331677
300,300,300,3.0894,0.0318156
308,308,308,3.23257,0.0339281
296,296,296,3.16742,0.0338947
233,233,233,2.53925,0.0276736
273,273,273,3.03011,0.033633
217,217,217,2.45245,0.0277174
213,213,213,2.44969,0.0281742
242,242,242,2.83013,0.0330985
204,204,204,2.42658,0.0288648
213,213,213,2.57774,0.0311968
161,161,161,1.98121,0.0243805
188,188,188,2.34964,0.0293667
192,192,192,2.43713,0.0309361
156,156,156,2.01181,0.0259453
159,159,159,2.08258,0.0272781
163,163,163,2.16916,0.0288671
163,163,163,2.20035,0.0297033
144,144,144,1.97204,0.0270071
148,148,148,2.05759,0.0286064
130,130,130,1.83166,0.025808
130,130,130,1.85836,0.0265658
124,124,124,1.79585,0.0260091
121,121,121,1.77983,0.0261805
101,101,101,1.50517,0.0224313
102,102,102,1.54008,0.0232536
108,108,108,1.65237,0.025281
118,118,118,1.82942,0.0283629
82,82,82,1.28676,0.0201923
102,102,102,1.62114,0.025766
89,89,89,1.43315,0.023078
104,104,104,1.69473,0.0276166
78,78,78,1.28706,0.0212378
77,77,77,1.28581,0.0214717
75,75,75,1.26687,0.0213996
76,76,76,1.29897,0.0222019
70,70,70,1.2103,0.0209265
83,83,83,1.45226,0.0254106
61,61,61,1.07963,0.0191085
60,60,60,1.07312,0.0191934
62,62,62,1.12118,0.0202752
59,59,59,1.07953,0.0197525
65,65,65,1.20226,0.0222378
60,60,60,1.12246,0.0209989
53,53,53,1.00194,0.0189413
60,60,60,1.14562,0.0218742
44,44,44,0.84888,0.0163774
47,47,47,0.916892,0.0178872
48,48,48,0.946259,0.0186544
46,46,46,0.915331,0.0182139
1246,1246,1246,30.0528,0.742588
